eng_lang,congruent,incongruent
native,587,710
native,436,571
native,601,803
native,516,617
native,500,830
native,455,657
native,549,642
native,553,819
native,478,556
native,469,629
native,420,658
native,496,721
native,536,758
native,534,679
native,458,768
native,492,691
native,532,681
native,478,664
native,567,796
native,591,866
native,640,755
native,553,806
nonnative,449,723
nonnative,599,677
nonnative,435,569
nonnative,489,632
nonnative,537,720
nonnative,646,796
nonnative,569,840
nonnative,549,772
nonnative,569,842
nonnative,445,633
nonnative,547,699
nonnative,609,789
nonnative,528,656
nonnative,446,668
nonnative,470,589
nonnative,676,903
nonnative,461,492
nonnative,467,622
